Rk,Player,Nation,Pos,Squad,Age,Born,90s,TotalCmp,TotalAtt,TotalCmp%,TotalDist,TotalPrgDist,ShortCmp,ShortAtt,ShortCmp%,MedCmp,MedAtt,MedCmp%,LongCmp,LongAtt,LongCmp%,Ast,xA,A-xA,KP,FinalThird,PPA,CrsPA,Prog
323,Paul Pogba,fr FRA,MFFW,Manchester Utd,28-335,1993,9,51.2,61.8,82.9,1060.8,276.6,20.3,23.1,88,20,22.8,87.8,9.78,12.4,78.6,0.78,0.17,0.61,1.78,8.44,2,0.22,7.33
324,Donny van de Beek,nl NED,MF,Manchester Utd,24-301,1997,0.8,31.3,40,78.1,481.3,230,17.5,22.5,77.8,10,12.5,80,2.5,2.5,100,0,0.63,-0.63,3.75,2.5,2.5,0,3.75
325,Bruno Fernandes,pt POR,MF,Manchester Utd,27-158,1994,21.6,41.9,57.3,73.2,821.5,242.8,18.9,21.8,86.8,15.5,19.7,78.4,6.9,13.4,51.6,0.23,0.31,-0.07,3.06,4.95,2.5,0.42,6.06
326,Fred,br BRA,MF,Manchester Utd,28-345,1993,15.9,48.4,57.2,84.6,892.3,220.8,20.9,23.8,87.8,20.6,23.3,88.6,6.04,7.86,76.8,0.19,0.1,0.09,1.07,4.91,0.57,0.06,4.47
327,Nemanja Matić,rs SRB,MF,Manchester Utd,33-196,1988,8.5,55.6,64.7,86,1046.9,304.7,22,25.6,85.8,26.6,29.2,91.1,6.24,7.76,80.3,0.24,0.09,0.14,0.82,6.47,0.35,0.12,5.18
328,Scott McTominay,sct SCO,MF,Manchester Utd,25-067,1996,17.9,40.4,47.4,85.3,768.7,206,16.4,18.8,86.9,18,20.5,87.7,5.47,6.54,83.8,0,0.07,-0.07,0.84,4.47,0.39,0.06,4.3
329,Eric Bailly,ci CIV,DF,Manchester Utd,27-307,1994,2.4,26.7,33.3,80,568.8,191.3,10,10.8,92.3,10.8,12.5,86.7,5.83,9.17,63.6,0,0,0,0,0.83,0,0,1.25
330,Diogo Dalot,pt POR,DF,Manchester Utd,22-332,1999,10.1,46.2,58.7,78.8,939.8,349.5,18.1,21.4,84.7,20.8,24.4,85.4,7.13,11.7,61,0,0.04,-0.04,0.89,3.37,1.58,0.5,5.35
331,Phil Jones,eng ENG,DF,Manchester Utd,29-357,1992,1,47,51,92.2,911,275,15,16,93.8,28,29,96.6,3,4,75,0,0,0,1,7,0,0,4
332,Victor Lindelöf,se SWE,DF,Manchester Utd,27-211,1994,14.1,44.7,50.2,89,966,255.4,13,14.1,92.5,23.9,25.5,93.9,7.45,9.79,76.1,0.14,0.03,0.11,0.14,2.2,0.28,0,1.77
333,Harry Maguire,eng ENG,DF,Manchester Utd,28-345,1993,18.7,48.8,56.5,86.3,1106.7,333.7,12.9,14.2,91.3,25.2,27.8,90.9,10.4,14,74,0,0,0,0.11,4.55,0.11,0,3.21
