Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Touches_DefPen,Touches_Def3rd,Touches_Mid3rd,Touches_Att3rd,Touches_AttPen,Touches_Live,Dribbles_Succ,Dribbles_Att,Dribbles_Succ%,Dribbles_#Pl,Dribbles_Megs,Carries,Carries_TotDist,Carries_PrgDist,Carries_Prog,Carries_Final3rd,Carries_CPA,Carries_Mis,Carries_Dis,Rec_Targ,Rec,Rec%,Rec_Prog
75,Calum Chambers,eng ENG,DF,Arsenal,27-036,1995,1.9,122,17,49,61,17,1,108,0,0,,0,0,71,239,106,4,2,0,1,2,73,71,97.3,0
76,Ben Chilwell,eng ENG,DF,Chelsea,25-066,1996,6,421,9,93,143,203,28,347,2,5,40,3,0,240,1083,515,23,4,5,11,3,295,256,86.8,30
77,Chiquinho,pt POR,MF,Wolves,22-020,2000,0.3,22,1,3,1,19,3,21,1,3,33.3,1,0,14,59,42,2,1,1,1,2,18,14,77.8,5
78,Hamza Choudhury,eng ENG,MFDF,Leicester City,24-147,1997,2.5,157,14,73,88,4,1,154,1,2,50,1,0,92,273,95,1,0,0,2,3,107,98,91.6,0
79,Andreas Christensen,dk DEN,DF,Chelsea,25-321,1996,12.1,991,119,472,502,67,3,957,5,5,100,5,0,628,2757,1500,45,15,0,1,0,678,665,98.1,2
80,Carney Chukwuemeka,eng ENG,MFFW,Aston Villa,18-049,2004,2.2,101,1,15,53,40,11,101,2,7,28.6,4,0,83,382,187,11,3,4,6,3,106,74,69.8,10
81,Ciaran Clark,ie IRL,DF,Newcastle Utd,32-152,1989,11.3,448,78,259,171,35,22,441,3,4,75,3,0,249,1151,507,13,4,0,4,0,265,251,94.7,4
82,Tom Cleverley,eng ENG,MF,Watford,32-197,1989,12.5,556,22,108,259,204,7,494,2,5,40,2,1,260,908,434,14,5,3,8,8,391,308,78.8,30
83,Nathaniel Clyne,eng ENG,DF,Crystal Palace,30-326,1991,3,168,5,61,98,21,0,135,0,0,,0,0,81,301,135,5,2,0,3,0,95,88,92.6,1
84,Conor Coady,eng ENG,DF,Wolves,29-000,1993,24.8,1170,285,779,425,21,14,1141,1,2,50,2,0,702,3527,1700,20,1,0,1,1,791,781,98.7,3
85,Séamus Coleman,ie IRL,DF,Everton,33-137,1988,17.6,1040,66,338,480,284,30,836,16,31,51.6,18,0,560,3110,1719,66,24,7,14,19,551,485,88,34
86,Nathan Collins,ie IRL,DF,Burnley,20-301,2001,6,253,50,141,107,11,7,249,1,2,50,2,0,105,544,193,5,0,0,2,1,95,87,91.6,0
87,Aaron Connolly,ie IRL,FW,Brighton,22-028,2000,1.7,34,0,0,14,21,4,33,0,1,0,0,0,22,132,42,3,0,0,3,1,65,22,33.8,7
88,Liam Cooper,sct SCO,DF,Leeds United,30-179,1991,14.2,1020,146,673,380,26,9,995,3,3,100,3,0,611,3465,1996,19,2,0,4,2,662,650,98.2,1
89,Jack Cork,eng ENG,MF,Burnley,32-245,1989,9.1,329,23,64,199,84,4,327,8,10,80,9,0,184,752,323,15,8,1,6,13,211,172,81.5,6
90,Maxwel Cornet,ci CIV,FWMF,Burnley,25-151,1996,10.1,341,12,56,132,173,39,325,9,23,39.1,10,0,208,936,484,24,8,3,25,21,450,217,48.2,68
91,Hélder Costa,ao ANG,MF,Leeds United,28-044,1994,0.2,6,0,1,3,2,0,6,0,0,,0,0,2,6,0,0,0,0,0,0,8,5,62.5,0
92,Vladimír Coufal,cz CZE,DF,West Ham,29-187,1992,18.7,1286,81,391,523,446,24,1053,11,23,47.8,13,0,620,3316,1604,64,27,6,13,13,719,643,89.4,33
93,Philippe Coutinho,br BRA,FWMF,Aston Villa,29-258,1992,3.9,176,1,13,95,85,15,170,8,13,61.5,8,3,141,728,417,23,11,3,8,6,201,143,71.1,24
94,Aaron Cresswell,eng ENG,DF,West Ham,32-072,1989,18.7,1423,73,382,704,415,20,1182,2,11,18.2,2,2,832,3615,1763,65,31,1,3,7,921,882,95.8,15
95,Charlie Cresswell,eng ENG,DF,Leeds United,19-080,2002,1.1,84,15,61,29,2,0,84,1,1,100,1,0,57,481,309,2,0,0,1,0,60,60,100,1
96,Cucho,co COL,FWMF,Watford,22-311,1999,8.3,380,10,58,156,203,23,349,17,27,63,17,0,250,1416,828,44,16,6,20,11,355,248,69.9,46
97,Marc Cucurella,es ESP,DF,Brighton,23-218,1998,21.3,1685,70,446,770,583,37,1457,21,40,52.5,23,6,1055,5099,3208,132,45,5,15,21,1153,1031,89.4,41
98,Luke Cundle,eng ENG,MF,Wolves,19-305,2002,0.9,37,2,8,23,7,0,34,0,0,,0,0,23,56,19,2,1,0,0,1,22,20,90.9,1
99,Patson Daka,zm ZAM,FW,Leicester City,23-139,1998,7.5,220,7,21,103,105,36,210,1,11,9.1,4,0,121,412,256,17,4,3,21,13,299,147,49.2,35
100,Stuart Dallas,nir NIR,DFMF,Leeds United,30-312,1991,23.9,1461,75,497,692,386,22,1248,13,24,54.2,13,2,835,5168,2984,115,45,10,12,28,903,800,88.6,42
101,Diogo Dalot,pt POR,DF,Manchester Utd,22-344,1999,11.1,803,38,242,400,213,19,686,8,19,42.1,10,0,454,2296,1395,66,13,5,11,10,501,460,91.8,28
102,Karl Darlow,eng ENG,GK,Newcastle Utd,31-140,1990,8,269,223,265,4,0,0,170,0,0,,0,0,95,546,294,0,0,0,0,0,94,93,98.9,0
103,Josh Dasilva,eng ENG,MFFW,Brentford,23-125,1998,1.4,58,9,21,27,14,2,57,3,3,100,3,0,38,229,98,4,1,1,2,4,31,22,71,4
104,Ben Davies,wls WAL,DF,Tottenham,28-307,1993,14.3,911,67,344,484,153,21,867,1,2,50,1,0,589,3673,2190,94,30,1,3,5,661,629,95.2,13
105,Tom Davies,eng ENG,MF,Everton,23-240,1998,1.8,87,2,13,44,31,8,86,0,0,,0,0,47,190,73,3,0,1,3,1,72,58,80.6,9
106,Keinan Davis,eng ENG,FW,Aston Villa,24-012,1998,0.1,7,0,0,5,2,0,7,0,0,,0,0,6,5,1,0,0,0,2,1,11,7,63.6,2
107,Craig Dawson,eng ENG,DF,West Ham,31-295,1990,19.9,996,164,530,466,55,32,977,2,2,100,2,0,556,2933,1416,37,6,0,2,5,614,602,98,4
108,Kevin De Bruyne,be BEL,MF,Manchester City,30-242,1991,14.2,1121,20,98,440,643,66,1031,18,31,58.1,18,1,769,3260,1960,102,39,8,20,18,949,840,88.5,98
109,Troy Deeney,eng ENG,FW,Watford,33-241,1988,0.3,11,2,2,1,8,5,11,0,0,,0,0,3,7,4,0,0,0,1,0,18,9,50,7
110,Liam Delap,eng ENG,FW,Manchester City,19-017,2003,0.1,1,0,0,1,0,0,1,0,0,,0,0,1,2,0,0,0,0,0,0,3,1,33.3,0
111,Fabian Delph,eng ENG,MF,Everton,32-096,1989,2.8,161,10,49,100,21,0,159,4,5,80,4,0,99,487,198,7,0,0,4,2,100,95,95,3
112,Leander Dendoncker,be BEL,MF,Wolves,26-316,1995,12.8,611,48,194,316,127,20,602,5,8,62.5,5,0,327,1152,500,16,6,1,10,6,440,359,81.6,28
113,Emmanuel Dennis,ng NGA,FWMF,Watford,24-102,1997,20.2,778,16,105,314,421,107,752,45,114,39.5,52,16,559,2918,1938,93,28,32,58,45,829,524,63.2,114
114,Kiernan Dewsbury Hall,eng ENG,MF,Leicester City,23-172,1998,9.8,659,32,174,328,213,19,644,11,17,64.7,12,0,446,2608,1479,61,19,2,20,26,504,449,89.1,41
115,Ibrahima Diallo,fr FRA,MF,Southampton,22-354,1999,8.2,408,14,67,252,109,8,407,17,21,81,20,1,288,1464,780,39,12,1,7,10,331,279,84.3,12
116,Raphael Dias Belloli,br BRA,MFFW,Leeds United,25-073,1996,21,1154,35,170,502,547,84,1036,43,107,40.2,51,12,794,3682,2328,117,20,23,56,36,1038,761,73.3,111
117,Rúben Dias,pt POR,DF,Manchester City,24-287,1997,22.7,2031,150,735,1353,93,26,1988,2,4,50,2,0,1502,8653,5352,199,18,0,5,2,1651,1627,98.5,8
118,Luis Díaz,co COL,FW,Liverpool,25-043,1997,2.9,180,0,10,71,105,26,180,7,13,53.8,8,0,149,679,359,23,2,7,5,11,178,145,81.5,32
119,Eric Dier,eng ENG,DF,Tottenham,28-041,1994,20.1,1362,267,799,614,35,10,1332,0,2,0,1,0,871,5291,3026,62,10,0,2,0,991,978,98.7,3
